Designator,Mid X,Mid Y,Layer,Rotation
R1,108.45,-112.375,bottom,180
R2,120.85,-105.75,bottom,90
R3,128.825,-112.4,bottom,0
U1,112.317,-105.08,bottom,0
U2,120,-89.5,bottom,270
U3,127.833,-104,bottom,0
